Type,Category,Name,Pop Min,Pop Max,Text,Info,Icon
Summoner,Sanctuary,Sanctuary,25,250,To be written…,Sacred place,
Summoner,Stronghold,Stronghold,50,500,To be written…,Central hub of power and defense,
Summoner,Fire,Lava Well,,,To be written…,,
Summoner,Water,Abyss,,,To be written…,,
Summoner,Earth,Dispensary,,,To be written…,,
Summoner,Air,Soul Net,,,To be written…,,
Summoner,Arcane,Flux Station,,,To be written…,,
Summoner,Mystic,Cultivator,,,To be written…,,
Summoner,Time,Time Gate,,,To be written…,,
Summoner,Summoner,Valley,,,To be written…,,
Summoner,Plant,Nursery,,,To be written…,,
Summoner,Ghost,Archive,,,To be written…,,
Summoner,Hallow,Monastery,,,To be written…,,
Plant,Outpost,Terrarium,5,50,To be written…,"Resource collection area, professionals for learning skills",
Plant,Town,Arboros,50,500,To be written…,"Small Population, general store, inn, maybe a side quest, well-defined community, infra, economy",
Plant,City,Florastra,500,5000,To be written…,large urban settlement,
Plant,Capital,Sylvanum,2000,20000,To be written…,"Primary or admin city, institution and leaders",
Plant,Colony,Colony,100,1000,To be written…,"Settlement in a new territory, Nomadic",
Plant,Refuge,Refuge,25,250,To be written…,Safe haven,
Plant,Hamlet,Hamlet,25,250,To be written…,A few houses and buildings,
Plant,Fort,Fort,50,250,To be written…,"Fortified military structure, base or defense",
Plant,Sanctuary,Sanctuary,25,250,To be written…,Sacred place,
Plant,Stronghold,Stronghold,50,500,To be written…,Central hub of power and defense,
Plant,Fire,Emberstalk,,,To be written…,,
Plant,Water,Venomarium,,,To be written…,,
Plant,Earth,Mushroomery,,,To be written…,,
Plant,Air,Jungle,,,To be written…,,
Plant,Arcane,Herbalist,,,To be written…,,
Plant,Mystic,Entheogen,,,To be written…,,
Plant,Time,Ancestora,,,To be written…,,
Plant,Summoner,Nursery,,,To be written…,,
Plant,Plant,Forest,,,To be written…,,
Plant,Ghost,Final Rest,,,To be written…,,
Plant,Hallow,Greenhouse,,,To be written…,,
Ghost,Outpost,Graveyard,5,50,To be written…,"Resource collection area, professionals for learning skills",
Ghost,Town,Spectralis,50,500,To be written…,"Small Population, general store, inn, maybe a side quest, well-defined community, infra, economy",
Ghost,City,Ectrium,500,5000,To be written…,large urban settlement,
Ghost,Capital,Ectrosanct,2000,20000,To be written…,"Primary or admin city, institution and leaders",
Ghost,Colony,Colony,100,1000,To be written…,"Settlement in a new territory, Nomadic",
Ghost,Refuge,Refuge,25,250,To be written…,Safe haven,
Ghost,Hamlet,Hamlet,25,250,To be written…,A few houses and buildings,
Ghost,Fort,Fort,50,250,To be written…,"Fortified military structure, base or defense",
Ghost,Sanctuary,Sanctuary,25,250,To be written…,Sacred place,
Ghost,Stronghold,Stronghold,50,500,To be written…,Central hub of power and defense,
Ghost,Fire,Ancestral Ashes,,,To be written…,,
Ghost,Water,Offering Ground,,,To be written…,,
Ghost,Earth,Mortuary,,,To be written…,,
Ghost,Air,Shipwreck,,,To be written…,,
Ghost,Arcane,Ruins,,,To be written…,,
Ghost,Mystic,Enclave,,,To be written…,,
Ghost,Time,Reliquary,,,To be written…,,
Ghost,Summoner,Archive,,,To be written…,,
Ghost,Plant,Final Rest,,,To be written…,,
Ghost,Ghost,Wasteland,,,To be written…,,
Ghost,Hallow,Hospice,,,To be written…,,
Hallow,Outpost,Field Hospital,5,50,To be written…,"Resource collection area, professionals for learning skills",
Hallow,Town,The Sanctum,50,500,To be written…,"Small Population, general store, inn, maybe a side quest, well-defined community, infra, economy",
Hallow,City,Monastro,500,5000,To be written…,large urban settlement,
Hallow,Capital,Snctifex,2000,20000,To be written…,"Primary or admin city, institution and leaders",
Hallow,Colony,Colony,100,1000,To be written…,"Settlement in a new territory, Nomadic",
Hallow,Refuge,Refuge,25,250,To be written…,Safe haven,
Hallow,Hamlet,Hamlet,25,250,To be written…,A few houses and buildings,
Hallow,Fort,Fort,50,250,To be written…,"Fortified military structure, base or defense",
Hallow,Sanctuary,Sanctuary,25,250,To be written…,Sacred place,
Hallow,Stronghold,Stronghold,50,500,To be written…,Central hub of power and defense,
Hallow,Fire,Hot Spring,,,To be written…,,
Hallow,Water,Mausoleum,,,To be written…,,
Hallow,Earth,Crystal Altar,,,To be written…,,
Hallow,Air,Travelling Medic,,,To be written…,,
Hallow,Arcane,Divine Craft,,,To be written…,,
Hallow,Mystic,Sepulcher,,,To be written…,,
Hallow,Time,Choronomed,,,To be written…,,
Hallow,Summoner,Monastery,,,To be written…,,
Hallow,Plant,Greenhouse,,,To be written…,,
Hallow,Ghost,Hospice,,,To be written…,,
Hallow,Hallow,Grove,,,To be written…,,
